ID	text	emotion
169314	Я рідко знаходжу розмови на глибокому рівні і часто відчуваю сумнів, щоб дати людям знати, що я думаю, через страх засудження.	fear
321081	Я не міг уявити, але все ще відчуваюся чудово.	surprise
335102	Я живу нагадуванням про одну подію до іншої, і я сконцентрувався лише на наступній або двох речах, щоб не почуватися пригніченим. (Note: This is a literal translation; it might not be the most idiomatic one.)	fear
352396	Я не можу описати радість, яку відчуваю, коли гідний чоловік сонінке сідає на табуретку біля книжкового столу і слухає історію про Мойсея по годину.	joy
348529	Я не знаю, чому я почуваюся таким незначущим.	sadness
291318	Я відчуваю бажання пригоди і хочу спробувати щось трохи незвичайне, наприклад, часничний суп або грецьку фасолату.	joy
178761	Я відчуваю себе вразливим, напруженим, гнівним і замкненим у серці, тому я буду бачити всіх такими.	fear
169249	Я почуваюся найвразливішою, звертаючись до своєї системи підтримки та сидячи у силі просто почувати.	fear
411465	Я відчуваюся дуже незадоволеним.	sadness
291509	Я майже відчуваю щире співчуття до неї, але не часто.	joy
279796	Я не можу сказати, що я почуваюся дуже погано, я не буду дбати про своє тіло і зроблю речі ще гірше, оскільки я насправді все ще хворий.	love
270297	Я відчуваю таку розсіяність від того, що дійсно важливе для мого серця і душі.	anger
82985	Я стояв там, почуваючись дещо збентеженим, коли вона говорила.	fear
290061	Також я відчуваю, що це дуже важливо для горлової чакри, яка часто може бути занедбана і ослаблена, коли ми не використовуємо свої голоси і не виражаємо себе правдиво.	joy
392345	Я відчуваю, ніби пропустив святковий обід.	sadness
291804	Я відчуваю зв'язок з дітьми, який більше дружній та родинний, а не науковий, і відчуваю розчарування у тому, що не можу виразити це.	joy
97988	Я знаю, що я відчуваю роздратованість, оскільки це є побічний ефект занадто високої дози.	fear
296068	Я знаю, як укласти угоду в інтернеті і почуваюся зачарованим.	surprise
375511	Я відчуваю себе переможеним, тому що це саме те, хто я є.	sadness
170542	Я дуже стурбований тим, що велика кількість підлітків та дорослих грає в цю гру та вбирає у себе таку велику кількість сексуально-агресивного насилля та агресивно-насильницької мови.	fear
116187	Я відчуваю, що я досить вірний п'ять деталей про твій зовнішній вигляд зараз.	love
303203	Я наношу шар швидко висихаючого лаку на їхній сорочці і скаржусь, що моя клавіатура відчувається смішно, а потім переходжу до найнепереносної події дня з обслуговування - фарбування волосся.	surprise
49706	Я вважаю це досить важливим зафіксувати кожного разу, коли мені стає погано.	anger
383654	я працюю з людьми, які описують своє життя як постійну спробу вписатися у одну або іншу систему, завдання, яке вони вважають все більш складним, і часто це призводить до їх відчудження, досвіду тривоги та страху.	fear
297885	Я підозрюю, що багато тих, хто зараз відчуває себе невдахами місіонерів, були б здивовані дізнавшись, як Бог оцінює їхню послугу.	surprise
405490	Я почуваюся смішно, мені подобається змушувати когось, з ким я перебуваю, приглядається і дивиться, як танцюють мої мишки. Треба полюбити взуття, що дозволяє тобі трохи побавитися.	surprise
49881	Я почув себе роздратованим з приводу багато більшого, ніж тільки мої тривалі поїздки в машині три години щодня.	anger
159268	Я знаходжусь у будь-якому північному місті-мельниці, відчуваю незважаючи на почуття хвороби та безпокою і розглядаю корів.	fear
377627	Я відчуваю, як я стаю роздратованим в результаті.	anger
392316	Я підвівся з ліжка, пройшов до кухні і відчував дуже сонливість та запаморочення.	sadness
147366	Я говорив раніше, що протягом всього свого життя я піклувався про своє фізичне здоров'я і якось раптово почувався не так гарно, без попередження.	love
290091	Відчуваю, що це дуже важливо зробити все можливе, щоб забезпечити всім молодим людям можливості для успіху.	joy
167795	Я відчуваю, що насправді у мене є солодкий посмішка.	love
291727	Я відчуваю, наче мені слід сказати щось розумне і змістовне, але це просто не мій стиль.	joy
269611	Студенти, що перебували на кампусі, надмірно створювали проблеми, щоб зашкодити владі, а не досягти щось конкретне.	anger
291729	Я відчуваю, що ніщо не є смачнішим і задовільним, ніж готування вдома.	joy
291898	Усе, що я можу зробити - це дати пораду, але навіть якщо я пропонуватиму таку допомогу, у мене є внутрішнє почуття, що вона не буде прийнята.	joy
317873	Я з'явився зовсім клаустрофобічним, задихаючись від темних дерев'яних стін і підводного відчуття всередині, і переконаний, ніколи не плаваючи на такому, що це не для мене.	joy
214093	Мені подобається це, але сьогодні я почуваюсь дратівливо.	anger
38133	Я відчуваю, що я досягла максимуму у своїй улюбленій в'язанці.	love
98897	Я відчуваю, що все ще повністю не прийняв це, але вважаю, що навчання впорядковуватися з цим зробило мене сильнішою і кращою особистістю в цілому, і я пишаюся тим, як я переборов це протягом більшої частини.	love
116122	Я не зацікавлений у жодних постах або колах, пов'язаних з релігійними поглядами, тому, якщо це тема, яка вам близька до серця, будь ласка, не додавайте мене до кола.	love
148957	Я сумую за обманом, який він мені зробив почуватися коханою, ніби ніхто інший.	love
24367	Я відчуваю дивні приступи самотності або порожнечі, які виникають.	surprise
415331	Я відчуваю багато дивних скорочень і гострих болів, але це просто все розпросторюється і робить місце для мого малюка	surprise
28565	Я відчуваю дуже вражаючий вплив своєї здатності спробувати щось нове цого вікенду і при цьому добре провести час тільки ті-хі.	surprise
99016	Я відчуваю, що можу самостійно приймати рішення та володіти своєю власною сферою. Однак, причина моєї дещо відчутної безпорадності відносно ролі жінок у церкві полягає в тому, що я можу впливати лише на свою власну сферу.	fear
338608	Я дуже вдячний за будь-які рекомендації, які я отримую, але мені дуже незручно звернутися до того ж самого человека, який щойно рекомендував мене особисто, і попросити зробити те саме на профілі моєї компанії.	fear
115635	Я буду готовий виїхати в кінці нашого часу, тому я не хочу почувати, що мене виганяють поспішно.	anger
356141	я почав повільно рухатися, почуваючись дуже невпевнено в собі.	fear
416639	Я все ще відчуваю трохи ошелешено кілька годин пізніше, такого легкого почуття, коли ви відчуваєте себе відірваними від реальності.	surprise
400036	Якщо мені не вдається зробити щось, я почуваю себе незадоволеним.	anger
317306	Я зміг знайти, я не знаю, що означає для вас "занадто сексуальний", але ось ті, які, на мою думку, є такими, які можна показувати комусь без почуття незручності.	sadness
331671	Я не збираюся відчувати ані мало жалю.	sadness
186947	Я не розумію, як це відчувати, коли ти бачиш, як такий улюблений товариш вибухає, розпилюється або втрачає кров прямо перед твоїми очима.	love
336212	Я відчуваю, що це перекручений, але вражаючий спосіб дивитися на речі.	sadness
83907	Я прогулювався вздовж коридору до своєї кімнати поруч з лабораторією анатомії, і почув щось і відчув, що за мною є щось. Я оглянувся, але нікого не було, і я почав уявляти, що це могло б бути труп.	fear
25272	Я почуваюся вражений і попереджаю вас бути настороженим, коли ви проходите через складні часи і випробування, щоб не потрапити в пастку самопожалування.	surprise
169200	Я почуваюся трохи настроєною, тому що не дуже впевнена у своїх відчуттях.	fear
312030	Яма значення того, щоб мої почуття були важливими для уважних, щедрих, відкритих та комунікабельних людей, які хочуть бути поруч зі мною і можливо навіть вважають, що я серйозно гарячий.	love
375526	Я думаю, можна сказати, що я трохи сумую за будинком.	sadness
213254	Я вдячний, що нам вдалося затриматися достатньо довго, щоб насолодитися часом там, не відчуваючи поспіху.	anger
280137	Я так страстно відчуваю стосовно освіти, особливо те, що стосується сучасної молоді.	love
352690	Я почуваюся щасливим-щасливим-щасливим, оскільки нарешті здаю свій іспит.	joy
38664	Я не відчував зв'язку з головним персонажем Ребекою і хотів би трошки глибше поінтересуватися її особистістю.	love
24803	Я не міг не відчувати враження від того, що я їй сказав. Я хочу виповзти зі шкіри і віддалятися від себе якомога далі прямо зараз.	surprise
318578	Я відчуваю, що це просто дивно з боку WOTC.	surprise
325200	Я також почуваюся розлюченим тоді.	anger
405178	Я почуваю, що зараз я досить захоплююся, оскільки очевидно я не усвідомлював, наскільки я був переможений.	surprise
37116	Я розумію, коли людина перебирається та відчуває пристрасть, але те, що я не розумію, це його заява, що хоче спати з іншою дівчиною.	love
33337	Я знаю цей надприродний стан захоплення від завершення чогось великого.	surprise
157294	Я хочу сказати йому, як я себе почуваю, але боюся, що він перестане стримуватися зі мною.	fear
352495	Я посміхнувся, я припускаю, що вони відчувають так само, як і я, тобто їх розуміння є цінними і серед великого вибору перспектив, які наводяться в аспірантурі, ви знайдете ті, які найкраще направлять вас до вашого природного стилю загоювання.	joy
8219	я вважаю, що ці почуття перевантаженості все ще залицяються його депресії	surprise
178682	Я відчуваю справжній шок, але сьогодні зранку я сказав моєму генеральному менеджеру, що він врятував мене життя.	fear
228644	Я відчуваю, що проводжу більшу частину свого часу, роблячи підтримуючу роботу на комп'ютері, а не виконуючи фактичні завдання.	love
8460	Я відчуваю, що Кріс не дуже вражений моїми речами, тому я природно ненавиджу себе і хочу якомога швидше повернутися на наступний літак до Сіетла, перед показом.	surprise
281926	Я сиджу і відчуваю ошелешення, і спостерігаю, як люди у русі дивляться й показують пальцем, поки він не повернувся.	surprise
391139	Особливо не терплю контрольні роботи на уроці, оскільки почуваюся у важкому положенні, розгублююся та в результаті отримую жахливі написані роботи, на які дивлюся через декілька тижнів з подивом, як жахливо сформовані речення та як можна було виразити цю ідею набагато чіткіше.	sadness
318415	Я повинен визнати, що я відчуваю певну надію щодо напрямку дискусій про моду і одяг.	joy
334548	Я сподіваюся, що наприкінці цієї книги ми почуваємо страх за майбутнє Волтера Тирска, але також відчуваємо надію для нього.	fear
213384	Я дійсно відчуваю, що я крокую в небезпечні води тут, але я думаю, що діалог дійсно важливий.	anger
352731	Я відчуваю, що мені потрібно бути вірним особі, з якою я навіть не так близький, як кляті старішок із середньої школі.	joy
8211	Я все ще відчуваю збентеження, збентеження, сум, дивно, самітність, напруженість, втомленість.	surprise
84052	Я почуваюся дуже збентеженим, навіть без ліків, щоб допомогти мені почуватися загубленим у лісі.	fear
50155	Я почуваюся трохи непривітно через те, що сьогодні почалися заняття, G виїжджає завтра, а результати для Атенео мають бути опубліковані в суботу.	anger
357190	Я недавно почав сумувати за своєю міською рок-енд-ролловою околицею.	sadness
348527	Я почуваю себе таким глупцем, тому що я не можу припинити причиняти біль.	sadness
344616	Я б легко ображався на зауваження, які зазвичай мене не турбують, але з якихось під незрозумілих причин біль і страждання збільшуються у декілька разів, що в результаті призводить до мого нехарактерного великого реакції на образника.	anger
343563	Я говорю "місія", оскільки вважаю, що проект є нудним і не має цікавості. Моє завдання полягало у проведенні фотозйомки портретів у студії.	sadness
411659	Я відчуваю, що потребується деяка система, яка може допомогти нещасним людям.	sadness
