,text,emotion
25,На часах в Об'єднаному Королівстві біля полудня - у США в 0700 сьогодні: Вистріли у Каракасі в рамках попередження про державний переворот в Венесуелі https://t.co/vd7LdCQxXt.,others
29,"Книги - мої найкращі батьки, вчителі, друзі, філософи, наставники та лікарі. Вони ніколи не відмовляють у моїх потребах. #WorldBookDay",others
31,"Щасливого #WorldBookDay ♥️📚♥️ Спасибі за те, що зробили світ кращим зі своїми чудовими історіями USER USER_girl USER USER USER USER USER_Prescott USER USER_L_James USER USER USER_mark USER https://t.co/OeWQdKA1TT",others
38,"USER USER USER_saxena Привіт, ви пишете багато постів, зупиніться на мить і подумайте про #змінуклімату. Напишіть твіт про #GretaThunberg, тому що #Зміна_клімату_реальна. Створіть #свідомість про #Руйнування_клімату. Розпочніть обговорення #П'ятницяЗаприятельське_Майбутнє. Використовуйте платформу та вашу аудиторію хоча б раз для реальних проблем.",others
40,Експерти з інженерії розглядають питання щодо пожежних пошкоджень та реконструкції. #NotreDameCathedralFire https://t.co/AT4mKCMW7h,others
41,"Просто надам ідею користувачеві та користувачці про програму навчальних стажувань з будівництва і традиційних ремесе в Франції для знедолених молодих людей, щоб працювати над відновленням собору Нотр-Дам де Парижу #NotreDameCathedralFire #notredame.",others
42,"Сьогодні, 23 квітня - #ВсесвітнійДеньКниги - Моя перша книжка, коли я ще був дитиною, була #ВінніПух. Яка була перша книга, яку ви читали? Які виклики ви зустрічаєте, читаючи в цифрову еру? Чи зробила Інтернет читацьку культуру щось простішим? USER USER USER USER @ https://t.co/WpVedKfTnL",others
43,"Я віддаю перевагу #Liverpool на користь USER та USER, які були підведені #SergioRamos #FCBLIV у минулому році у Лізі чемпіонів.",others
46,"#WorldBookDay📚 Наші гості насолоджуються переданими книгами, які ви ділитеся з нами! Дуже хорошо мати можливість засісти зі зручною книгою після довгого дня лікування і розслабитися, чи читати улюблену книгу, чекаючи за близькими під час призначення. Які з ваших улюблених книг?",others
52,"Так, дорога Ґрето, що ви плануєте зробити щодо викидів СО2 у Китаї, які перевищують викиди СО2 в Європі та США разом взяті? #FridaysForFuture #ClimateStrike #GretaThunberg",others
53,"Молюся за народ Венесуели. Тисячі людей на вулицях в Каракасі. Вони вимагають свободи та борються проти режиму Мадуро. Зараз збройні сили також стоять проти Мадуро. Сподіваюсь, що все закінчиться перемогою для венесуельців.",others
54,"Я ніколи не бачив, щоб результат матчу так не відображав сам етап гри за всю свою довгушу життя. Усі, хто дивився цей матч, знають, що результат так далеко відображає те, як грали команди. #Ліверпуль #Барселона #ЛігаЧемпіонів",others
59,"Ар'я Старк витівливо пробирається за спиною всемогутнього, жахливого, святого, найвищого, абсолютного жаху, остаточної форми смерті та руйнування #НічнийКороль - це найлінивіша характеристика Deux ex Machina в сучасній культурі. #Гра Престолів #HBO",others
61,Гри # inplay Ігри на 👀👀👀 # inplay Очікуйте на кращі ціни👍 Низький стейк з низькими шансами на ризикований 4-розрядний #спортивнийспорт #bettingtipster #tips #football #epl #SerieA #spfl #Bundesliga #LaLiga #ligue1 #сингли #inplaybet#tips #футбол #Треблhttps://t.co/mELHSHoOPo,others
65,"Якщо у вас є сльози ... Рухливість та деяка надія серед попелу: зображення, які можуть допомогти відновити кафедральний собор Парижа Нотр-Дам та молодого, талановитого професора, який їх створив, перш ніж помер #AndrewTallon https://t.co/m0bpdzVNov #NotreDame #NotreDameCathedralFire #Hope",others
66,Переклад речення з англійської мови на українську: https://t.co/SqUwNI8Cth Хтось затягнув мене у хіт #Beatles на вечірці 🤔 #DayTripper Так! Відео чудове! USER USER_2 USER USER_shrew60 USER USER USER_CURLEY Хлопці все ще мали веселощі.. #GoLiverpoolvsBarcelona 2Day #ChampionsLeague,others
68,"10 Цікавих Фактів про собор Паризької Богоматері, які ви повинні знати https://t.co/pEZKaD2UGV #Париж #ПожежасоборуПаризькоїБогоматері #соборПаризькоїБогоматері #факти #Notre_dame_de_Paris #NodreDameDeParis https://t.co/t1PmWBbq4i",others
69,Я (після дня і півтори інтенсивних перевірок оновлень щодо пожежі в соборі #NotreDameCathedralFire ) пояснюю кожну складність пожежі своїм терплячим друзям. https://t.co/SwTtvUULd6,others
73,Найгірші атаки на пресу користувачем нічим не порівняється з цим. #Венесуела https://t.co/F07fI23Zxq,others
74,"Дивно, як ви раптово стали говорити про це після протестів щодо зміни клімату, популярності Грети Тунберг та під час виборів.",others
75,"#Венесуела Пам'ятаєте останній раз, коли USER допомагав управляти економікою? https://t.co/wERBnSBGF5",others
76,"Я знаходжуся з людьми з Венесуели. Я сподіваюся, що ви перевершите диктатора.",others
77,"Чи твітнув користувач про те, що він може побудувати Нотр-Дам краще і дешевше? #NotreDameCathedralFire",others
80,Чи згодні ви з USER striker USER? #UEFAChampionsLeague #ChampionsLeague #UCL #FCBarcelona #Barcelona #fcblive https://t.co/DG4d61eptY,others
87,"У мене є кілька, сподіваюся, не занадто провокаційних думок про пожежу у Катедрі Нотр-Дам. А також відповідь на негативні коментарі про те, чому я спочатку опублікував відео на іншу тему. + Таро читання! #NotreDameCathedralFire #таро #читаннятаро https://t.co/hDsfJbzhsl",others
89,"Ось оригінальне відео #Facebook. Як ви можете побачити з оригіналу, відповідачі чітко реагують на #NotreDameCathedralFire. Ось знімковий знімок відповідей зі смайликами на оригінальному відео. #BuzzfeedFakeNews https://t.co/3gUGupnyAu",others
90,"Я дійсно думаю, що Америка наступна, якщо ми втратимо вашу 2-у поправку. Я кажу, що не потрібно виправляти те, що не є таким серйозним. #Венесуела",others
91,Сьогодні в фінальному матчі #ЛігаЧемпіонів зіграють #Барселона та #Ліверпуль! Хто переможе? #BAR #LIV #BARLIV https://t.co/dDoyBmVHcJ,others
96,"Звичайно, потім вони назавжди відсікають користувача та не переслідують жодної угоди, що і є тим, чого хотів користувач #MBS. І можна зробити ставку, що агенти #Mossad є активні у #Венесуелі та допоможуть будь-якому змові, підтриманому США, з цієї причини. Посилання: https://t.co/aFrarfJ6Hm",others
98,"Економіка, одна з найвдаліших учасників єврозони, відіграла другорядну роль у кампанії між політичними партіями. #SpainElection",others
102,"Наставник Гуайдо шукає притулку у посольстві Венесуели в Чилі, що може свідчити про невдачу спроби державного перевороту. - https://t.co/IoIeQPMs7J",others
103,"ЦЕ ПРАВДА!!!!!! Я пам'ятаю ВІЛЬНУ, ПРОЦВІТАЮЧУ, ЯРКУ Венесуелу - НАЙБАГАТШУ країну на континенті!!! #СпочаткуБерутьТвоїГвинтики #MAGA #ВівторокДумки https://t.co/E3MvN2y6i2",others
106,"Я сміюсь над суперечливими повідомленнями від християн щодо #GameOfThrones. Той рядок ""Що ми говоримо богу смерті?"" дістав хвилювання у деяких проповідників. ""Не сьогодні!"" Але інші проповідники не бажають, щоб ми дивилися.",others
108,"Ця телепрограма #Iptv сьогодні пропонує #футбол, #крикет #mlb #теніс  #ChampionsLeague #barcelona  проти #Liverpool  #Ligue1  #rennes проти #monaco   #nationalleague #afcfylde проти #harrogatefc  #indianpremierleague  #ipl #ChennaiSuperKings  #DelhiCapitals  Надішліть мені повідомлення зараз, щоб підписатися та насолодитися переглядом https://t.co/8mOGxUBEWN",others
111,"Ґрета, 16-річний активіст зміни клімату, стверджує, що все, чого вона хоче, це щоб дорослі поводилися як дорослі і діяли на залякуючу інформацію, що оточує нас. #Повідом Правду #CимитичнийЗагроза #Вибори_до_Європарламенту2019 #ГретаТунберг https://t.co/X823ONovSC",others
113,"Я так шокований! Цілком неможливо уявити, що ці вантажівки керуються людьми венесуельцями проти інших венесуельців! Я просто не можу в це повірити! Чому солдати дійшли до такої крайності? Яка їхнья відповідальність? Чи може варто використовувати виправдання ""Я діяв за наказом""? #Венесуела https://t.co/rNVsgQxxQg",others
114,"# Пожежа собору Парижської Богоматері - це не #Grenfell, де була людська трагедія та недбалість установи.",others
115,"На честь пожежі катедрального собору Парижної Богоматері найкращий момент з ""Горбунком Нотр-Дамом"". #Діснейворлд #Діснейпарки #Дісніченел #90-ті #МузикаЖиття #ПарижМіцний USER USER_113 USER USER USER USER_Ferb USER USER",others
117,"Після цієї гри я не хочу чути, що Ван Дейк є найкращим захисником світу. #вандейк #Ліверпуль #ЛігаЧемпіонів",others
118,"Не вірте французькому уряду. Головний архітектор пожежі в #NotreDameFire #NotreDameCathedralFire твердо заявляє, що це була НЕ випадковість. Що, звичайно ж, означає, що ми дедалі більше наближаємося до мусульманського тероризму. Тільки дурень думає інакше. https://t.co/a8MIYdBQNG",others
119,"Є сила в чисельності. Група військових та національної поліції на користь народу #Венесуела, #30DeAbril #LeopoldoLopezLibre https://t.co/0vWaKaHs2u",others
120,Трагічно. Це неминучий шлях соціалізму. #Венесуела https://t.co/zjV3foQRGd,others
121,Ще багато футбольних матчів на цей тиждень ⚽️⚽️⚽️ Приєднуйтеся до нас за чудовою їжею та напоями #ChampionsLeague #PremierLeague https://t.co/pdbTtPW7J5,others
122,"Дивлячись #GOTS8E3 минулої ночі, обоє батьків дзвонять, пишуть повідомлення та залишають голосові повідомлення для мене та SO. Ми: Все добре? Чи хтось помер?! Вони: МИ ЩЕ НЕ ЗНАЄМО, БО МИ ЗАБУЛИ ВАШ ІМЕННИК КОРИСТУВАЧА!! #АріяСтарк #НайтКінг #Гра Престолів",others
124,"Яка нагода. Користувач на ""Барселоні"" на півфінал Ліги чемпіонів ... може бути ще краще? Сподіваюся ...",others
128,"Якщо ти ще не подивився(лася) останній епізод #GameOfThrones, не очікуй, що я не розкажу тобі про нього. Це не моя вина, що твої пріоритети не в тому порядку.",others
132,"Так, на мою думку, перемога Ajax може бути корисною для футболу Нідерландів загалом, але що стосується голландської команди в цілому, мені все одно, як вони виступають, хаха.  #feyenoord #ChampionsLeague",others
133,"Дуже захоплені, що нам не довелося бачити, як Ходор помивається або йому миються. Це б вибило мене з ритму. #GameofThrones #GoT #ForTheThrone",others
134,"#Auspol Від #імперського #воєнголови Ніколи не цікавився #демократією, #клептократія - це те, що він має на увазі #Венесуела #поздоровлень_yank https://t.co/AcRUi15rGc",others
136,"Схоже, що користувачі можуть сконцентруватися на титулі Прем'єр-ліги зараз #PremierLeague #lfc #footballINDEX #ficommunity #barca #ChampionsLeague.",others
143,Наші плакати #FridaysForFuture були нагодою для обговорення з двома групами молодих людей 15 і 14 років про #ClimateDisaster #StrikeForClimate #GretaThunberg's book і наші пропозиції #1for25 #YoungMinisters #1for2M #RevocableMinisters #RevocableGovernment #humanocracy https://t.co/4xHd0lsyT8,others
144,Було б честю загинути від Арії Старк. #GameOfThrones,others
146,Козел допоміг своїй команді перемогти. Барселона перемагає в Ла-Лізі #BarcaLevante #LaLiga,others
148,"Трамп загрожує ембарго та санкціями проти #Куби через дії щодо #Венесуели. Щодо ролі Куби в Каракасі, прочитайте це від USER, USER та USER_wainer: https://t.co/f5YqeTb8Rs https://t.co/QQiilorXk5",others
150,"Користувач зустрівся з користувачем, щоб обговорити США-Бразилію, підтвердили свою готовність захищати права людини та демократію в #Венесуелі https://t.co/lBuK8jB4g3",others
151,"ОК, #GretaThunberg дуже мила, але факт залишається той, що #релігійні люди, маючи занадто багато #дітей, зараз є головним фактором, що найбільше сприяє деградації #навколишнього середовища... #перенаселення #сталість #ресурси #забруднення #глобальне потепління #змінаклімату https://t.co/FtisWRvmhN",others
152,"Це нормально, хлопці, соціалізм наступного разу працюватиме 🤓🤡#венесуела",others
154,Філіпс: #Нігерія Pitch нагороди будуть залишатися - газета The Nation #CDLeganes 🇪🇸 #LaLiga  https://t.co/WJcoVqHh2T,others
158,"#НЕМАЄПРАВИЛ: Це нереально. Чи я правильно почув? #GretaThunberg думає, що школа не потрібна. Звичайно! - Усі діти мають бути неграмотні, неаргументовані, обожнювачами клімату. Це те, що я називаю зворотнє мислення. Екстремальний лівизм у своїй найгіршій формі. #трагеді‪я‬екологізму",others
160,"Ми так звикли до цієї легенди, але Мессі дуже недооцінений. #BARLIV #LігаЧемпіонів #МессіЖиття",others
161,"Великим програвачем стала ПП, яка втратила більше половини своїх місць у нижній палаті парламенту та також втратила контроль над сенатом на користь Соціалістів. #SpainElection",others
164,"Більш, ніж голоси окремих людей, молодь ставить зміну клімату на політичну агенду і впливає на голосування у своєї родини - так можна перекласти це речення на українську мову.",others
168,"Дистопійна література досліджує соціальні та політичні структури у ""темному, кошмарному"" світі. Пропаганда використовується для контролю над громадянами, свобода обмежується, і люди живуть у постійному страху. Останнім часом було видано декілька дуже популярних книг на ці теми. #WorldBookDay https://t.co/FW4MxBpP1P",others
169,"За 70 років #CIA не змінила своїх планів на жоден іоту. Після місяців перевезення зброї в #Venezuela, вони зараз збираються розпочати насильство. #MSM буде ігнорувати насильство, доки #Maduro не відповість, коли нам будуть казати, що він «пригнічує протести». 1/2",others
173,"Уявіть, якщо «Порожня Корона» у виконанні USER зіграла б у новому епізоді #Гра Престолів😱😍 Ідеальна пісня для ідеального шоу❤ Люблю тебе, Еллі❤❤",others
185,"#GretaThunberg #Швеція #аспергер сама просить світ змінитися. Дівчина в 16 років з #ОКП протягом моєї думки відповідає за передачу логіки у світі, який став дивним. #ClimateStrike #Strike4Climate ... https://t.co/iSO53hPDsP",others
187,"Цього свята книги, читайте більше та створюйте незрівнянний зв'язок із книгами. #WorldBookDay #Books #BooksAreLife #Reading #Library #BookWorm #Literature #BookLove https://t.co/bYkfAyWeMW",others
188,"Читання було моє улюблене розвага в дитинстві - і все ще є. Книги можуть мати такий позитивний вплив на життя дітей. У своїй книзі колишня сомалійська біженка USER каже їм: ""Ми є агентами змін"". #WorldBookDay https://t.co/lUQZkddJAc",others
189,LVMH також надасть свої творчі та фінансові команди для допомоги у відновленні та зборі пожертв. #NotreDameCathedralFire https://t.co/rodNUjxrQM,others
190,"Я все ще перебував глибоко у своєму обраному раю - рай, чиї небеса були кольору пекла - але все ще рай. - Володимир Набоков. #ДеньКниги. https://t.co/6559th2baJ""",others
193,З такими темпами Ліверпуль не виграє жодні кубки цього року... #SSFутбол #БарселонавЛіверпуль #ЛігаЧемпіонів #просто Джоді.,others
194,"Підтримувачі іспанських соціалістів НЕ хочуть #Brexit. Хрест мій, я зовсім не очікував цього. #Вибори в Іспанії",others
195,Кроваве пекло! Я багато кричав на телевізор і емоційно виснажився. Це було неймовірно. #Гра Престолів.,others
196,"Отже, тому ми й зберігаємо та носимо зброю, а #Venezuela бореться палицями та каменями. https://t.co/92YjtPjs44",others
197,"Ар'я зіткнулася з проблемою, що #SocialJusticeWarriors зіпсували #GameofThrones. Ар'я тренувалася все це часу, щоб вбити королеву, а не короля! Це було #JonSnow його роботою!",others
199,"З нагоди святкування Всесвітнього дня книги, чому не передати декілька книг в руки місцевої дитини, пожертвувавши для #BookBank або провівши збір книг! Передайте дитині у Філадельфії любов до читання! Книги: https://t.co/tEYsfSR6LR або напишіть нам на електронну адресу за нашим інструментарієм для збору книг! #CityOfReaders https://t.co/Pbf7XfVxrD",others
205,"Який був кращий? Я цікавлюся #GameofThrones. (Note: This translation is written in the Ukrainian alphabet, but if you prefer the Latin transliteration system, it would be ""Yakyi buv krashchyi? Ya tsikavliusia #GameofThrones."")",others
206,"Я дуже люблю #GameofThrones, але наполягання творців на підриві характерної траєкторії героїні #SansaStark дійсно робить серіал менш приємним для мене. #GameofThronesSpoilers https://t.co/LNGaReKB4e",others
207,"Отже, якщо цифра в 10% використана Міс Тунберг відображає весь споживання Великої Британії, чи є це правильна цифра для використання? На жаль, все не так просто. https://t.co/SPmKFNT9Mh #Climateemergency #ClimateChange #GretaThunberg""",others
209,Голосування розпочинається в Іспанії за напруженого та напруженого передвиборчого кампанії. #Spain #SpainElection #Вибори https://t.co/kynYLeV0EW https://t.co/VwPe9a1LVX,others
212,"Велось розмова про #GameofThrones, але поки що закінчено - до завтрашнього дня на роботі, коли почнуть знову розмовляти. Цікаво, наскільки розчарує наступний епізод. Зараз все що залишається - сподіватися на Cleganebowl.",others
214,"Вибори в Іспанії: соціалісти перемогли з найбільшою кількістю місць, але екстремістська партія Vox стрімко зросла - оновлення в режимі реального часу #28A #España #SpainElection https://t.co/AC5ZFjzbvi",others
215,"Потрібно сотні / тисячі вітроенергетичних установок / сонячних панелей у вітряний / сонячний день (більше вугільних / газових електростанцій, які працюють цілодобово, щоб компенсувати коливання виробництва та попиту), щоб відповідати виходу безвуглецевої атомної електростанції. #cop25 #GreenNewDeal #GretaThunberg #gnd https://t.co/rv5221YMJu",others
216,"Добре, на цьому етапі я відчуваю обов'язок дати #GameOfThrones реальний шанс ... але скільки потрібно часу, щоб вона насправді стала хорошою?!",others
220,Цей рахунок не відображає гру. Ця третя забивка вирішила цю гру #ChampionsLeague #ChampionsLeague2019 #BARLFC,others
221,Півфінали Ліги чемпіонів? Немає проблем!!! #ChampionsLeague #BarcaLiverpool https://t.co/6yniS85s8Z,others
223,"Друга країна, яка оголосила кліматичний надзвичайний стан. Переміщення теплої, сприятливої ринку розмови до чогось адекватнішого та впливовішого. Ми можемо вимагати потрібної РАДИКАЛЬНОЇ (антимонопольної) зміни! # ExtinctionRebellion #ClimateStrike #StudentClimateStrike #gretathunberg https://t.co/vJUf4wGfX4",others
224,"Наразі читаю переможну книгу Річарда Пауерса ""Надіскрив"", з якої він отримав премію USER #ДеньСвітовоїКниги.",others
226,"Молитви до всіх у Парижі, до всіх, хто постраждав від пожежі у Notre Dame, і особлива подяка пожежникам за їхню роботу!!! 🙏 #NotreDame #Paris #NotreDameCathedralFire #unisanews2019 #trendingtopic https://t.co/CylXMHHdBw",others
227,#Колективи в #Венесуелі вбивають невинних цивільних! КОРИСНИК КОРИСНИК КОРИСНИК КОРИСНИК КОРИСНИК КОРИСНИК КОРИСНИК SOS #Венесуела https://t.co/kwzWdbkJq2,others
537,"Переклад речення на українську: Іди, #GretaThunberg! #ClimateEmergency повинна бути оголошена не тільки в найбільш забруднюваних країнах, таких як Китай, але й по всьому світу! Не зважай на політиків, як цей з Німеччини. Він не тільки дуже поганий політик, але і жахлива людина! Отже, рушай! Люди з тобою! https://t.co/gM72AeVSui",others
539,"Якщо колись я опинюся в життєво-смертельній битві, я обірву свої яйця. Я вивчив це з #Гра Престолів, що без яєць воюєш краще #     Теон #     Сірий Черв'як #     Незалежні #Got8x03 #Битва за Вінтерфелл.",others
542,"Ми краще діставимо круту бійку з Духом до закінчення серіалу, або я буду дуже сердитий! Будь ласка, нехай він щось класне зробить! #Гра Престолів",others
544,"Збитки від #NotreDameCathedralFire для #NotreDame є трагічними і ми можемо відчувати втрату, але пам'ятайте, що любов до Бога не лежить у стінах жодної церкви. Вона лежить у нас. Наше світло не може бути затемненим жодним злом. #standtall #praypraypray #GodBless #WWG1WGA 🙏",others
545,Ми дозволяємо спрощувати нерухомість! Купуйте та продавайте будинки без рієлтора та економте 6% з https://t.co/SDLG19beyP #ItsGonnaBeMaytag #ChampionsLeague #SeinfeldASong #TuesdayThoughts https://t.co/ZIUEutwStV,others
548,"Ви, турки, дієте так, наче ми знатимемо, що вам буде спроба державного перевороту. Ми теж були здивовані цим. #Венесуела.",others
551,"Я так щасливий, що Іспанія обрала соціалістичну владу, тепер ми можемо використовувати їх як тестовий об'єкт, щоб особисто побачити провал соціалізму на заході і їхню швидку підйомку. #SpainElection",others
552,Аякс переміг Тоттенхем з рахунком 1-0 у першому матчі півфіналу Ліги чемпіонів #Ajax #AjaxTottenham #TottenhamAjax #Tottenham #TottenhamHotspur #TottenhamVsAjax USER #DonnyvandeBeek #HugoLloris #HakimZiyech #EuropeanChampionsLeague #ChampionsLeague https://t.co/2RED130AHg,others
556,"#СвітовийДеньКниг Обрані книги: #КнигиджемКаю The Good House #КнигиДжеймсаБолдуїна The Fire Next Time #КнигаАлісиУокер Temple of My Familiar #КнигиЗориНілГерстон Their Eyes Were Watching God #КнигаДжойсМейєр Battlefield of the Mind #КнигаДжерелаДжентрі Hello, Tomorrow",others
557,"Він помиляється, і ви також помиляєтесь #GretaThunberg #FridayThoughts.",others
558,"Дякую богу, що мертві настільки глупі. #Гра Престолів",others
560,#GameOfThrones Ар'я вступає до бою так: https://t.co/Mte0kr1R9P,others
561,"Твіт, опублікований користувачем USER, дозволяє мені та іншим вірити, що Трамповська адміністрація серйозно розглядає військову дію. #Венесуела #ВенесуелаЛібре https://t.co/wmDZDLBe9W",others
563,"Якщо ви ще не слідкуєте за #GretaThunberg, будь ласка, розгляньте цю можливість. Вона є активісткою за клімат USER. (Note: I had to modify the sentence slightly to make it grammatically correct in Ukrainian, as there is no direct equivalent for the English phrase ""climate activist."")",others
564,"Ти добрий чоловік, дякую, Theon #GameofThrones.",others
565,"Що відбувається зараз в #Венесуелі - це повна мішанина. Дуже небезпечна мішанина, як наслідок.",others
572,Були вони сміливими та вірними людьми! Слава дому Мормонтів!!!! #Привітання #Гра Престолів https://t.co/2mIiXeQiBn,others
577,"Я дуже уважно стежу за ситуацією в Венесуелі та стою з їхнім боком у боротьбі за демократію. Венесуельський народ має абсолютне право на самовизначення, свободу та гідність.",others
579,Масовий слабкий ланка на даний момент - це Джо Гомес. #BARLIV #ChampionsLeague.,others
583,"Є кілька хороших уроків, які можна взяти з #SpainElection. Будування прогресивної більшості передбачає включення різноманітних лівих поглядів та повагу до чесної неоднозначності щодо тактики та конкретики політики. Ірландська ліва повинна зважати, що ідеологічна чистота ніколи не є продуктивною.",others
584,"Цього #WorldBookDay ми читаємо ""Give Us The Ballot: The Modern Struggle for Voting Rights in America"" від USER! А що ви читаєте? https://t.co/nEkx9yeDk6 https://t.co/ytVjoTN4pu",others
586,"Я не дивуюся, що чоловіки не звертають уваги на повний польот фантазії персонажа тільки для того, щоб кричати МЕРІ СЬЮ"" у вакуумі, через те, що їм не подобається, що чоловічий троуп фентезії не отримав можливості знищити головного злодія. #Гра престолів #Ар'яСтарк""",others
588,"Мирний перехід уряду та дипломатія без санкцій США - це варіант демократів ""думок та молитов"" для #Венесуели.",others
589,Чемпіонська Ліга Барселона Проти Ліверпуля #ForcaBarca #Barca #LFC #LFCIndonesia #Liverpool #UCL #ChampionsLeague.,others
590,Коутіньйо досить добре виступає у першому таймі до цього моменту. #BarçaLevante #LaLiga 🔴🔵,others
591,"Я викликаю тебе на виклик, сказати що Ліверпуль повинен перемогти .... #BARLIV #ChampionsLeague https://t.co/3prLcwbfb6",others
592,"Користувач_Phile, я згоден. Подивіться, що сталося з Титаніком, і якби це сталося під час #NotreDameCathedralFire, пошкоджень було більше, і вітражі були б знищені.",others
594,"Кажуть, що читання робить вас кращим письменником. Яка книга знаходиться у верхівці вашого списку читання на #WorldBookDay? 📚🐛",others
595,"Коли #людство втратило свою #інтелектуальність, #незалежне #мислення й #здоровий #глузд? У 21 столітті ми повертаємось до #СередніхЧасів. #змінаклімату #вихідзвугілля #ҐретаТунберг #зеленийновийпакт #Іслам",others
599,"Абсолютно неймовірно, юзер і юзер витягнуті з радіоефіру в #Венесуелі. Дві найбільші постачальники #фейкових новин на планеті – гни бридкими сцавами https://t.co/VKmBo6oMlu",others
602,"Соціалізм ВБИВАЄ ... Молюся за народ Венесуели зараз! Це те, що відбувається, коли зіштовхується соціалізм і беззбройне суспільство ... НІКОЛИ не забувайте про це! ПАМ'ЯТАЙТЕ, наскільки ми благословенні, і нашою обов'язковістю є НІКОЛИ не відпускати свої свободи! #Venezuela",others
606,Так!! Я теж прочитав це і був вражений. Боротися з вогнем і одночасно рятувати важливі та незамінні предмети - це справжні герої! Багато з нас дуже вдячні їм #ПожежаВКафедральномуСоборіПарижа,others
607,"Мій друг опублікував це. Було б чудово побачити, як це стане новинами наших ЗМІ #truth USER USER #NotreDameFire #NotreDameEnLlamas #NotreDameCathedralFire https://t.co/zWBFDNPk6p",others
608,Глобальне потепління займає першу сторінку новин #GretaThunberg https://t.co/mD5lZfWH9i,others
610,"Коли наміри не завжди співпадають з результатом. Чи можна повністю довіряти алгоритмам, які надають реальні"" новини? #NotreDameCathedralFire #Google #YouTube https://t.co/9Gjh9Y6GE4 https://t.co/j55vkmvaYs""",others
612,"Я очікую побачити Сансу та її товариство порожнюючими свої власні горщики та готуючими сніданок у наступній серії, оскільки #GameofThrones любить ""реалізм"" (крім випадків, коли ви впадете з дракона та маєте дуже сильний захист) і всі, хто не має імені в Winterfell, мертві. #BattleForWinterfell",others
613,"Битва при Вінтерфеллі, але на ритм. #Гра Престолів #GoT https://t.co/Kt9q4mmIwq",others
614,"Користувачі #NewzKidz з задоволенням повідомляли про #ClimateAction #ExtinctionRebelion #GretaThunberg на цьому тижні, 7-річна журналістка Роуз стурбована #ClimateCatastrophe https://t.co/KHrJQHzplw",others
617,Барселона успішно змусила Ліверпуль відхилитися від свого плану 😈😈😈 #ЛігаЧемпіонів,others
620,"Результат на теперішню ніч був розчаруванням для USER, але третій гол від Мессі був магічним і показав його блиск як гравця. Були шанси, але незважаючи на поразку, це не була погана гра, ми просто не змогли використати наші можливості. #LігаЧемпіонів",others
621,"Чи говорить ваша школа про зміни клімату? Інспіровані 16-річною активісткою змін клімату Гретою Тунберґ, ми обговорюємо дії щодо змін клімату в школах за посиланням https://t.co/5aFUZq5qyS. #edchat #isedchat #climatechange #GretaThunberg https://t.co/w5URLsdO2E",others
623,"Вийдіть надворі, займайтеся садом, поверніться назад, а США, Росія, #Венесуела &amp; #Куба загрожують один одному. Чи коли-небудь диктатор #Трамп віддасть передність своєму его?! 😖 просто зробіть правильну річ!!! https://t.co/9m1DIj1NZ9",others
624,"Користувачі #jeremycorbyn та #GretaThunberg - майбутнє, а #theresatrump - те, що не так із цим світом. https://t.co/eTwa7dTf0y",others
625,"Переведіть на українську мову наступне речення, яке було написано англійською мовою, відносно Венесуели: ""Переважна більшість громадян мають негативне ставлення до Америки, як і всі Південна Америка"".",others
