id	event	tweet	offensive	emotion
3MJ9GGZYO3CPI2LXN998EVRW1G0A21	GretaThunberg	USER USER USER_saxena Привіт, ви пишете багато постів, зупиніться на мить і подумайте про #змінуклімату. Напишіть твіт про #GretaThunberg, тому що #Зміна_клімату_реальна. Створіть #свідомість про #Руйнування_клімату. Розпочніть обговорення #П'ятницяЗаприятельське_Майбутнє. Використовуйте платформу та вашу аудиторію хоча б раз для реальних проблем.	NO	others
3ZG552ORAMA9AQOVY404AI59MQ1V2N	GameOfThrones	Вау! Ар'я Старк з #GameofThrones - мабуть, мій улюблений персонаж УСІХ часів 👍	NO	joy
3XUY87HIVPKGR7YFUUIX2V0U122MMK	NotreDame	Експерти з інженерії розглядають питання щодо пожежних пошкоджень та реконструкції. #NotreDameCathedralFire https://t.co/AT4mKCMW7h	NO	others
3GONHBMNHV4GQEXY9J8RAXW3G6KMZ1	NotreDame	Просто надам ідею користувачеві та користувачці про програму навчальних стажувань з будівництва і традиційних ремесе в Франції для знедолених молодих людей, щоб працювати над відновленням собору Нотр-Дам де Парижу #NotreDameCathedralFire #notredame.	NO	others
3K8CQCU3KE7IE1DTAX3KO8RL4USNWE	WorldBookDay	Сьогодні, 23 квітня - #ВсесвітнійДеньКниги - Моя перша книжка, коли я ще був дитиною, була #ВінніПух. Яка була перша книга, яку ви читали? Які виклики ви зустрічаєте, читаючи в цифрову еру? Чи зробила Інтернет читацьку культуру щось простішим? USER USER USER USER @ https://t.co/WpVedKfTnL	NO	others
3VADEH0UHC3PA58X676BV8TVYWYSP1	ChampionsLeague	Я віддаю перевагу #Liverpool на користь USER та USER, які були підведені #SergioRamos #FCBLIV у минулому році у Лізі чемпіонів.	NO	others
3SX4X51T80F3P9A2A775L8UZ2LXOAM	LaLiga	Добре сказано! 👏 Давайте подивимося, як він би витримав у #LaLiga або #BPL, що я б з радістю подивився! https://t.co/n26G0nH1eK	NO	joy
3M0556243SQG3FRYK8TKKK5L9R0NFE	NotreDame	Дивлячись на таку чудову та історично важливу будівлю, яка лежить в руїнах, розриває моє серце. 😞 #NotreDameCathedralFire	NO	sadness
3DQYSJDTYLHT9V56R3WN04BJZ4XEX9	WorldBookDay	#WorldBookDay📚 Наші гості насолоджуються переданими книгами, які ви ділитеся з нами! Дуже хорошо мати можливість засісти зі зручною книгою після довгого дня лікування і розслабитися, чи читати улюблену книгу, чекаючи за близькими під час призначення. Які з ваших улюблених книг?	NO	others
3ZFRE2BDQ9KRKQW2NQA0LEC1NA5XZX	Venezuela	Заступник США в'їхав на машині і вбив підлітка. https://t.co/nh7kLnvrqX #Венесуела	NO	sadness
3ABAOCJ4R8A7CMW7MNPEJ4KZB32MQA	ChampionsLeague	Дуже дякую, Салоні, за #ShoutOut... Дуже вдячний... Сподіваюся, усім добре провести середу ввечері та насолодитися матчем... #YNWA #LFC #UCL #ChampionsLeague #BARLIV	NO	joy
3OEWW2KGQJH1NGDEUHY7B925NORODL	WorldBookDay	Книги наповнені знаннями, віддзеркалюють радісне життя, життєві уроки, любов, страх, молитву та корисні поради. #ДеньКниги	NO	joy
3MXX6RQ9EVB68K6MG6ATX5DPKGW4P7	GretaThunberg	Абсолютно шокуюче. Ця людина балотується на виборах і стверджує, що є розслідувальним журналістом. USER - один з найяскравіших прикладів нашого часу. Вона не заслуговує на ці нападки. Це лише показує, що #GretaThunberg змінює світ! #GretaEffect #нобелевськапремія #Клімат https://t.co/KHdAWEHjgs	NO	disgust
39WICJI5ATYF4SPO313CEYNXGF5Z30	ChampionsLeague	Все про Барселону-Ліверпуль тепер трендить у всьому світі. Вражаюче, матч, що так сильно впливає! #BarcaLFC #BARLIV #LігаЧемпіонів	NO	joy
3PR3LXCWSF5CEZEPJSG18QA887J9XW	GretaThunberg	Так, дорога Ґрето, що ви плануєте зробити щодо викидів СО2 у Китаї, які перевищують викиди СО2 в Європі та США разом взяті? #FridaysForFuture #ClimateStrike #GretaThunberg	NO	others
3OLZC0DJ8JLDLB2XN7LWXYCQBMVIVI	Venezuela	Молюся за народ Венесуели. Тисячі людей на вулицях в Каракасі. Вони вимагають свободи та борються проти режиму Мадуро. Зараз збройні сили також стоять проти Мадуро. Сподіваюсь, що все закінчиться перемогою для венесуельців.	NO	others
391JB9X4ZYEL1JYC9I5HNI8QCXAMKI	ChampionsLeague	Я ніколи не бачив, щоб результат матчу так не відображав сам етап гри за всю свою довгушу життя. Усі, хто дивився цей матч, знають, що результат так далеко відображає те, як грали команди. #Ліверпуль #Барселона #ЛігаЧемпіонів	NO	others
32K26U12DNUWD0MBVTKL61WDJHNDVB	Venezuela	Так, люди Венесуели відкидають обрання DC #Гуайдо. Не втручайтеся в Венесуелу! #HandsOffVenezuela https://t.co/47ZlHbjmSA	NO	disgust
3QHITW7OYOF6ALNIPKZ9ADPZHMFAQG	GameOfThrones	Можливо, тема #GameofThrones / ASOIAF полягає у тому, що політичні перегони за владою виглядають неймовірно абсурдними, коли ставиться питання виживання людства. А зараз це щось на зразок "жартуємо, справжня історія полягає в тому, чия огидна кров зі стосунків має більше прав на життя в замку".	NO	disgust
3MWOYZD5WVUA9S4RJBCA7EEZ1SWON6	LaLiga	Користувачі ще раз стали чемпіонами. Те, що мене радує в цьому сезоні, - це те, що іноді чемпіонати виграються на більш кмітливість, а не тільки на вмілості. Ми проявляли волю в останні 11 сезонів вже 8 разів. #Campeons #LaLiga	NO	joy
37VUR2VJ6AV6MW0ZOJ5LF77F9D8C1P	GameOfThrones	Я можу вийти, я бачив це без спойлерів! #gameofthrones	NO	joy
3VO4XFFP15SORJPKIHNP0MN9GE97QM	GameOfThrones	Ар'я Старк витівливо пробирається за спиною всемогутнього, жахливого, святого, найвищого, абсолютного жаху, остаточної форми смерті та руйнування #НічнийКороль - це найлінивіша характеристика Deux ex Machina в сучасній культурі. #Гра Престолів #HBO	NO	others
337F8MIIMZJ3K322ZLV3I4CHC8G04S	NotreDame	Переклад речення на українську мову: 🚨НАБІР ... Я розумію, що пожежа у соборі Нотр-Дам є сумною подією, але, на мою думку, важливо мати деяку перспективу в такі моменти: пройшло 1817 днів з того часу, як у Флінту не було чистої питної води.	NO	disgust
3W3RSPVVGSXFYXL33K84TS2ZEJKLUE	LaLiga	Гри # inplay Ігри на 👀👀👀 # inplay Очікуйте на кращі ціни👍 Низький стейк з низькими шансами на ризикований 4-розрядний #спортивнийспорт #bettingtipster #tips #football #epl #SerieA #spfl #Bundesliga #LaLiga #ligue1 #сингли #inplaybet#tips #футбол #Треблhttps://t.co/mELHSHoOPo	OFF	others
3I4E7AFQ2K5U3UIE0U6H8H35RG4TJP	Venezuela	Просто незворушний! Подивіться, що відбувається у #Венесуела https://t.co/ieQRU7Wg7j #ВівторокДумки	NO	surprise
37G6BXQPLQR90Y4U5P1V6WFQ21BQEP	ChampionsLeague	Грати проти Барселони у півфіналі Ліги Чемпіонів - це саме те, що вболівальники, як ми, живуть для цього. І це чудово, що йдемо туди з вірою, що ми маємо все необхідне для того, щоб вийти переможцями з цієї гри. Гарні часи. #LFC #ChampionsLeague #BARLIV	NO	fear
3QE4DGPGBRH0V7DNDNK63WZXJP7G4D	WorldBookDay	Ніхто не зробить цього. Є занадто багато рукописів для видавців, щоб красти ідеї. Першого автора будуть вважати щасливим, якщо його прочитають і помітять, і видавець (якщо твір хороший) буде швидко зайняти своє місце до того, як зробить це хтось інший. #womenwriters #WorldBookDay https://t.co/ajozu85zAW	NO	disgust
3MJ28H2Y1EE6J3YLFBGODXEDA7RO5B	NotreDame	"Якщо у вас є сльози ... Рухливість та деяка надія серед попелу: зображення, які можуть допомогти відновити кафедральний собор Парижа Нотр-Дам та молодого, талановитого професора, який їх створив, перш ніж помер #AndrewTallon https://t.co/m0bpdzVNov #NotreDame #NotreDameCathedralFire #Hope"	NO	others
3X878VYTIEOR0UZB41CVONJV9CYF7Y	ChampionsLeague	Переклад речення з англійської мови на українську: https://t.co/SqUwNI8Cth Хтось затягнув мене у хіт #Beatles на вечірці 🤔 #DayTripper Так! Відео чудове! USER USER_2 USER USER_shrew60 USER USER USER_CURLEY Хлопці все ще мали веселощі.. #GoLiverpoolvsBarcelona 2Day #ChampionsLeague	NO	others
3UZUVSO3P71IFJ62DWUEPNVLS0CEMO	NotreDame	Мені болить душа, коли я бачу такий прекрасний пам'ятник, що знищився вогнем. #paris #NotreDameCathedralFire https://t.co/KcQmXLD0UX	NO	sadness
3DWGDA5POFA2L56ZF00Q5ZV4UKK1V9	NotreDame	10 Цікавих Фактів про собор Паризької Богоматері, які ви повинні знати https://t.co/pEZKaD2UGV #Париж #ПожежасоборуПаризькоїБогоматері #соборПаризькоїБогоматері #факти #Notre_dame_de_Paris #NodreDameDeParis https://t.co/t1PmWBbq4i	NO	others
3B623HUYJ4W44D9GKQ409MY59MVS8E	NotreDame	Я (після дня і півтори інтенсивних перевірок оновлень щодо пожежі в соборі #NotreDameCathedralFire ) пояснюю кожну складність пожежі своїм терплячим друзям. https://t.co/SwTtvUULd6	NO	others
3CMV9YRYP376KHA9RL4QMQTOX3JJLD	WorldBookDay	Один з наших улюблених днів тижня настав! Щасливого #ДняКниги усім нашим книголюбам! - Наші офіси з усього світу бажають вам дня повного читання та розповіді історій. #КнижковеКохання https://t.co/jyjFz9pDSv	NO	joy
3KG2UQJ0MJUDU4H7YO4EWJ9ZGTENQD	LaLiga	"Давай, USER, берімо справу в свої руки. Це той момент, за який ми воюємо. Зробімо це. #viscabarça #WeColorFootball #laliga"	NO	joy
36JW4WBR06QOTJ5NHAY7F08PNFUFH0	ChampionsLeague	Бог футболу дає свої благословення Клоппу та його команді #LFC в Храмі Футболу 🤭 #Messi #UCL #Лігачемпіонів #CampNou #BarçaLFC https://t.co/Ktg0DSvMiW	NO	joy
322ZSN9Z5GQ40CZTXNJD2FEM9JET4Y	Venezuela	Найгірші атаки на пресу користувачем нічим не порівняється з цим. #Венесуела https://t.co/F07fI23Zxq	NO	others
31YWE12TE0I80GQW4VIHUUJ2DHV7XI	GretaThunberg	Дивно, як ви раптово стали говорити про це після протестів щодо зміни клімату, популярності Грети Тунберг та під час виборів.	NO	others
31N9JPQXIPO0HBI4FYHKN5HYP6EHN7	Venezuela	#Венесуела Пам'ятаєте останній раз, коли USER допомагав управляти економікою? https://t.co/wERBnSBGF5	NO	others
3JYPJ2TAYIEG603B0N6CO9AG962FP3	Venezuela	Я знаходжуся з людьми з Венесуели. Я сподіваюся, що ви перевершите диктатора.	NO	others
371Q3BEXDHFJO9A3TG4DM6V98V1ZSP	NotreDame	Чи твітнув користувач про те, що він може побудувати Нотр-Дам краще і дешевше? #NotreDameCathedralFire	NO	others
3XUY87HIVPKGR7YFUUIX2V0U124MMM	ChampionsLeague	Користувач серйозно, це не може статися в день #ChampionsLeague ?? Виведіть своїх техніків, це Національна Надзвичайна Ситуація! (transliteration: Korystuvach seriozno, tse ne mozhe statysya v den' #ChampionsLeague ?? Vyvedit' svoikh tekhnikiv, tse Natsional'na Nadzvychayna Sytuatsiya!)	NO	fear
3K3IX1W4S6XLA9M3P7KKA8ZPCQSPA3	GameOfThrones	Епічна битва в серіалі #Гра Престолів була захоплююча, Арія неймовірна! 👍	NO	joy
3D42WVSDH81AFEVCRA2V103SDB7FYZ	ChampionsLeague	Чи згодні ви з USER striker USER? #UEFAChampionsLeague #ChampionsLeague #UCL #FCBarcelona #Barcelona #fcblive https://t.co/DG4d61eptY	NO	others
31J7RYECZLWZP0U51WYKIQX23MHL19	NotreDame	Може хтось запевнити мене, що люди розуміють, що цілком припустимо оцінювати благополуччя, екологію ТА культурну спадщину І що підтримка одного з них не повинна йти на шкоду іншому? #NotreDame #ecology #NotreDameCathedralFire #Welfare	NO	surprise
3BFNCI9LYKWWKIJIK6BTNEUY6MT37D	ChampionsLeague	#bbcfootball Я впевнений, що #messi хотів би принести трофей назад до Ноу Кемпу. Але слова - це дешево. Він ідеться до кабінету трофеїв #anfield. Підійди, #lfc. Ми використаємо їх неміцну оборону #ChampionsLeague #YNWA.	NO	joy
3TX9T2ZCB97CVQRCDLEEJVYUE8YWZ2	NotreDame	Мої діти тільки що повідомили мені, що вони хочуть, щоб я пожертвувала їхні гроші на обід на Notre Dame. Така пишаюся. #NotreDame #NotreDameCathedralFire	NO	joy
3R4QIDVOJPIK3VEPWY6VCFQCJYKEEY	NotreDame	Чому уникнення? Fox News відмовляється від історії нападів на церкви - WND. https://t.co/gCrV23i1g7 через USER.	NO	anger
3LXX8KJXPWFPKQ0XI1T5PDJFW3EO96	SpainElection	Крайня права в країні, що все ще має перспективний пам'ятник Франко? Неможливо. #ВибориІспанії	NO	disgust
3VW0145YLYIQQZSURX55M38DX89JMF	WorldBookDay	#ДеньКниги Ми всі маємо спеціальний куточок вдома, де ми насолоджуємося читанням. '#RT', якщо ви згодні! https://t.co/0erA1YOBZt	NO	joy
3VLL1PIENQU4QHIAMZN421L8B6ZZOT	NotreDame	У мене є кілька, сподіваюся, не занадто провокаційних думок про пожежу у Катедрі Нотр-Дам. А також відповідь на негативні коментарі про те, чому я спочатку опублікував відео на іншу тему. + Таро читання! #NotreDameCathedralFire #таро #читаннятаро https://t.co/hDsfJbzhsl	OFF	others
3OLZC0DJ8JLDLB2XN7LWXYCQBMWIVJ	WorldBookDay	#WorldBookDay - Другіші, ніж друзі. Завжди тримайте книгу за компанію... бо вони ніколи не зрадять. https://t.co/t4i2y22S3w	NO	joy
3126F2F5F89O0M3F5CM66RPGX5NEPK	NotreDame	Ось оригінальне відео #Facebook. Як ви можете побачити з оригіналу, відповідачі чітко реагують на #NotreDameCathedralFire. Ось знімковий знімок відповідей зі смайликами на оригінальному відео. #BuzzfeedFakeNews https://t.co/3gUGupnyAu	NO	others
3ZXV7Q5FJBUXCBU7VIK649B9ANNFCP	Venezuela	Я дійсно думаю, що Америка наступна, якщо ми втратимо вашу 2-у поправку. Я кажу, що не потрібно виправляти те, що не є таким серйозним. #Венесуела	OFF	others
3B6F54KMR2IMTDPVL5VLUCBXVGT1S7	ChampionsLeague	Сьогодні в фінальному матчі #ЛігаЧемпіонів зіграють #Барселона та #Ліверпуль! Хто переможе? #BAR #LIV #BARLIV https://t.co/dDoyBmVHcJ	NO	others
3PR3LXCWSF5CEZEPJSG18QA887IX9J	GretaThunberg	"Сонячна та вітряна енергетика не постраждали від дешевого природного газу, а от навпаки, вийшли на користь. Заборона використання вугілля/природного газу призведе до кінця застосування сонячної та вітряної енергетики. Сонячна та вітряна енергетика стають «декоративними фасадами», що утримують розширення газової (фракційної) промисловості за панування над безвуглецевою атомною енергетикою. https://t.co/o7KyZCO5vP #cop25 #ClimateChange #GretaThunberg #climate"	NO	anger
308KJXFUJRCJ21FA6OT4FI0M1TATA9	Venezuela	Подивіться. Люди з #Венесуели вийшли на вулиці. Вони відкидають #Гуайдо та вашу спробу перевороту в #Венесуелі з боку #Вашингтона #HandsOffVenezuela https://t.co/47ZlHbjmSA	NO	joy
3SX4X51T80F3P9A2A775L8UZ2LTOAI	Venezuela	Ви знаєте, що країна засуджена, коли обидві сторони однієї й тієї ж скорумпованої політичної еліти відкрито зайняті проведенням іншої незаконної операції зі зміни режиму. Ще більш тривожним є те, що деякі люди все ще думають, що все це для "свободи та демократії" #HandsOffVenezuela #Venezuela https://t.co/rVBdPSfKGc.	NO	disgust
3D1UCPY6GGF0KWO1UB3Z1EQTH6W832	NotreDame	Користувач #GlenBeck поширює чутки, поширює ненависть та страх щодо релігії, на підставі нічого! #StopTheHate #NotreDameCathedralFire.	NO	anger
3IJ95K7NDXIMHFNTVSZ2255XA61NGE	Venezuela	Звичайно, потім вони назавжди відсікають користувача та не переслідують жодної угоди, що і є тим, чого хотів користувач #MBS. І можна зробити ставку, що агенти #Mossad є активні у #Венесуелі та допоможуть будь-якому змові, підтриманому США, з цієї причини. Посилання: https://t.co/aFrarfJ6Hm	NO	others
3D1TUISJWI6D8WDXIHBR1CA7XFOIUV	ChampionsLeague	Це був просто прекрасний футбол. #ChampionsLeague.	NO	joy
3WGCNLZJKFEGRO6DOF0WZDPXUDK1DE	SpainElection	Економіка, одна з найвдаліших учасників єврозони, відіграла другорядну роль у кампанії між політичними партіями. #SpainElection	NO	others
3BFF0DJK8XIN2X14NOFV0IUSNZIST5	WorldBookDay	Відзначаючи світовий день книг шляхом скористання з можливості отримати дев'ять безкоштовних книг від Amazon Kindle. Не можу дочекатися, щоб дізнатися більше про нових авторів з усього світу та розширити свої горизонти (буквально)! #amazon #worldauthors #worldbooks #celebrate	NO	joy
30P8I9JKOIR19N7IGN228P8L60QV5M	WorldBookDay	Давайте пообіцяємо собі виховувати у своїх дітей звичку читати книги, оскільки це один зі способів формування їх майбутнього найкращим чином... З любов'ю, від команди #Brahmastra, з щасливим #WorldBookDay. https://t.co/Sb3W6BlERe https://t.co/BXqly731k8	NO	joy
3PEG1BH7AEXPISUFITF892XW0Y3BKF	NotreDame	"Короткий проблиск надії в світі — головні трійця 13-століття вітражів, можливо, вижили: «Усі три здаються врятованими. Міністр культури Франк Ріестер заявив, що три вікна не зазнали катастрофічних пошкоджень». #NotreDameCathedralFire https://t.co/dRuAONJ4zK"	NO	joy
39AYGO6AFFQKKMYNJFQGQES8GSZ6NW	Venezuela	Наставник Гуайдо шукає притулку у посольстві Венесуели в Чилі, що може свідчити про невдачу спроби державного перевороту. - https://t.co/IoIeQPMs7J	NO	others
3M4KL7H8KVTH6FRYESSIT7F5DRT61N	Venezuela	ЦЕ ПРАВДА!!!!!! Я пам'ятаю ВІЛЬНУ, ПРОЦВІТАЮЧУ, ЯРКУ Венесуелу - НАЙБАГАТШУ країну на континенті!!! #СпочаткуБерутьТвоїГвинтики #MAGA #ВівторокДумки https://t.co/E3MvN2y6i2	NO	others
